family,suffix,feature,n,n_tickers,ic21,ic63,ic126,median_per_ticker_ic21,same_sign_share,abs21,abs63,abs126,multi_horizon_avg,quality
f34_regime_recovery_signal,base_001_075,f34rrs_f34_regime_recovery_signal_p0_xclsema21_21d_base_v037_signal,122447,19,0.0055445992057894,-0.0190073961490933,-0.0322391603134649,0.0069751737753159,0.5789473684210527,0.0055445992057894,0.0190073961490933,0.0322391603134649,0.018930385222782533,0.01323743724193467
f34_regime_recovery_signal,base_001_075,f34rrs_f34_regime_recovery_signal_p0_xcls_21d_base_v027_signal,122447,19,0.0050172466318404,-0.0191393574350927,-0.0323137994504715,0.0067248986981504,0.5789473684210527,0.0050172466318404,0.0191393574350927,0.0323137994504715,0.018823467839134866,0.013031484060968202
f06_utility_credit_quality,3rd_derivatives_001_150,f06ucq_f06_utility_credit_quality_creditq_126d_jerk_w63_s2_jerk_v099_signal,121831,19,-0.0134216473140561,-0.0198690396881806,-0.0011839366588109,-0.0125799271590332,0.6842105263157895,0.0134216473140561,0.0198690396881806,0.0011839366588109,0.0114915412203492,0.01288444618681454
f01_regulated_rate_base_growth,3rd_derivatives_001_150,f01rrb_f01_regulated_rate_base_growth_ratebasexvol_252d_jerk_v024_signal,121831,19,-0.0116224152318958,0.0141547574133926,-0.0186354601403992,-0.0157281585023855,0.631578947368421,0.0116224152318958,0.0141547574133926,0.0186354601403992,0.014804210928562532,0.012791783254541899
f29_ipp_margin_cycle,3rd_derivatives_001_150,f29imc_f29_ipp_margin_cycle_margin_cycle_189d_t21s4d21_jerk_v032_signal,121316,19,-0.0228717995899357,-0.0017691620403676,-0.0014129163328068,-0.0140821362652264,0.8421052631578947,0.0228717995899357,0.0017691620403676,0.0014129163328068,0.008684625987703367,0.012780475319892194
f46_quiet_utility_compounder,2nd_derivatives_001_150,f46quc_f46_quiet_utility_compounder_sg_ebitda_42d_s00_sw21_slope_v070_signal,91288,19,-0.015699735659164,0.0107271487713446,0.0100678358583861,-0.0219958381790262,0.7368421052631579,0.015699735659164,0.0107271487713446,0.0100678358583861,0.012164906762964901,0.012743448215102917
f38_utility_capital_raise,3rd_derivatives_001_150,f38ucr_f38_utility_capital_raise_p0_xclose_126d_jerk_v031_signal,110001,19,-0.0059613131759859,-0.0255092906371206,-0.0146109439699312,-0.0029842907680646,0.5263157894736842,0.0059613131759859,0.0255092906371206,0.0146109439699312,0.015360515927679232,0.012699584044598053
f33_clean_energy_winter,2nd_derivatives_001_150,f33cew_f33_clean_energy_winter_p0_xclsema21_dn126_10d_slope_v132_signal,6358,18,-0.0162254924741488,-0.0075991004007208,0.0151452917763883,-0.0346320123330922,0.6666666666666666,0.0162254924741488,0.0075991004007208,0.0151452917763883,0.012989961550419302,0.012664270123748886
f26_ipp_revenue_volatility,base_001_075,f26irv_f26_ipp_revenue_volatility_revenue_vol_10d_t4s2i126_base_v049_signal,122447,19,0.018677024341859,-0.0069817030202458,-0.0056815413564412,0.0187876973176733,0.7894736842105263,0.018677024341859,0.0069817030202458,0.0056815413564412,0.010446756239515333,0.012629304728872085
f09_utility_rate_case_signature,3rd_derivatives_001_150,f09urc_f09_utility_rate_case_signature_mfloor_21d_jerk_w126_s0_jerk_v013_signal,121708,19,0.0061896598937275,0.0263095400235584,0.0111276955320233,0.0145594804048665,0.631578947368421,0.0061896598937275,0.0263095400235584,0.0111276955320233,0.014542298483103067,0.012624269126399357
