family,suffix,feature,n,ic21,ic63
f17_ecommerce_take_rate,2nd_derivatives_001_150,f17etr_f17_ecommerce_take_rate_ttptu_sum_21d_slope_v098_signal,22446,0.009805848203408062,-0.007428290152815801
f17_ecommerce_take_rate,2nd_derivatives_001_150,f17etr_f17_ecommerce_take_rate_trtrend_sq_378d_slope_v060_signal,70363,-0.005720847694950322,-0.030413891366020955
f17_ecommerce_take_rate,3rd_derivatives_001_150,f17etr_f17_ecommerce_take_rate_trtrend_rmean_126d_jerk_v039_signal,70337,-0.02622846235249469,-0.004835274842173026
f17_ecommerce_take_rate,3rd_derivatives_001_150,f17etr_f17_ecommerce_take_rate_takerate_z_189d_jerk_v022_signal,70368,-0.009225563603419957,0.0218783023525284
f18_digital_cac_efficiency,base_001_075,f18dce_f18_digital_cac_efficiency_sgnarev_z_252d_base_v023_signal,68062,-0.031602733340417244,-0.05011250657579874
f18_digital_cac_efficiency,base_001_075,f18dce_f18_digital_cac_efficiency_sgnarev_z_63d_base_v020_signal,68000,-0.011359846181450386,-0.011966885020188226
f18_digital_cac_efficiency,base_076_150,f18dce_f18_digital_cac_efficiency_s2rpml_sum_42d_base_v105_signal,70788,-0.0316321870235154,-0.05956980376921179
f18_digital_cac_efficiency,base_076_150,f18dce_f18_digital_cac_efficiency_s2rpml_sum_42d_base_v105_signal,70788,-0.0316321870235154,-0.05956980376921179
f18_digital_cac_efficiency,2nd_derivatives_001_150,f18dce_f18_digital_cac_efficiency_sgnarev_xclmean_189d_slope_v004_signal,68020,-0.029109123145300127,-0.011746149962524785
f18_digital_cac_efficiency,2nd_derivatives_001_150,f18dce_f18_digital_cac_efficiency_ce_ema_126d_slope_v125_signal,67896,-0.017505050145978644,-0.007362376726566313
f18_digital_cac_efficiency,3rd_derivatives_001_150,f18dce_f18_digital_cac_efficiency_cacef_z_252d_jerk_v047_signal,65706,0.041783556227752885,0.0523689198444589
f18_digital_cac_efficiency,3rd_derivatives_001_150,f18dce_f18_digital_cac_efficiency_mktlev_rmean_63d_jerk_v068_signal,68004,0.008521842120588494,-0.005590546838529022
f19_marketplace_network_effects,base_001_075,f19mne_f19_marketplace_network_effects_netacc_rmean_21d_base_v037_signal,67995,-0.002037846128357351,0.0027978198534904463
f19_marketplace_network_effects,base_001_075,f19mne_f19_marketplace_network_effects_revsgadiv_raw_21d_base_v001_signal,68020,0.004342992329529162,0.0029629431735897173
f19_marketplace_network_effects,base_076_150,f19mne_f19_marketplace_network_effects_rdxna_mul_63d_base_v094_signal,67878,-0.01727719242174075,-0.01831610512548959
f19_marketplace_network_effects,base_076_150,f19mne_f19_marketplace_network_effects_se_range_42d_base_v129_signal,68347,-0.013630948936108328,-0.022623104129599784
f19_marketplace_network_effects,2nd_derivatives_001_150,f19mne_f19_marketplace_network_effects_rd_dmed_126d_slope_v137_signal,59885,-0.006209634274137821,0.0012563432100334124
f19_marketplace_network_effects,2nd_derivatives_001_150,f19mne_f19_marketplace_network_effects_rdxna_mul_126d_slope_v095_signal,67562,-0.01012101467827225,-0.009744070376290766
f19_marketplace_network_effects,3rd_derivatives_001_150,f19mne_f19_marketplace_network_effects_se_iqr_10d_jerk_v145_signal,9755,-0.008608805618450012,-0.006258273295757947
f19_marketplace_network_effects,3rd_derivatives_001_150,f19mne_f19_marketplace_network_effects_scaleff_sq_189d_jerk_v082_signal,67803,0.00013283417036821958,0.002897161762575644
f20_dtc_brand_acceleration,base_001_075,f20dba_f20_dtc_brand_acceleration_dtcsig_rstd_252d_base_v017_signal,70533,-0.034122963832774154,-0.06026284128848345
f20_dtc_brand_acceleration,base_001_075,f20dba_f20_dtc_brand_acceleration_dtcqual_raw_378d_base_v066_signal,70369,-0.007456867633101228,-0.015482799933412486
f20_dtc_brand_acceleration,base_076_150,f20dba_f20_dtc_brand_acceleration_dtcqual_sq_189d_base_v082_signal,70369,-0.01159117442926743,-0.00580721359405823
f20_dtc_brand_acceleration,base_076_150,f20dba_f20_dtc_brand_acceleration_ba_dmed_21d_base_v134_signal,70413,0.010736457648682442,-0.007395056040827065
f20_dtc_brand_acceleration,2nd_derivatives_001_150,f20dba_f20_dtc_brand_acceleration_ds_iqr_189d_slope_v144_signal,70533,-0.029182386221885296,-0.02928614213141423
f20_dtc_brand_acceleration,2nd_derivatives_001_150,f20dba_f20_dtc_brand_acceleration_dspqs_sum_126d_slope_v101_signal,70121,0.006300593766439357,0.004110127209463274
f20_dtc_brand_acceleration,3rd_derivatives_001_150,f20dba_f20_dtc_brand_acceleration_dspqs_sum_189d_jerk_v102_signal,70035,-0.0005981397704851181,0.002970330293291346
f20_dtc_brand_acceleration,3rd_derivatives_001_150,f20dba_f20_dtc_brand_acceleration_bamqs_diff_10d_jerk_v103_signal,13429,-0.010182589578749957,-0.0064474856988748185
f21_consumer_cycle_phase,base_001_075,f21ccp_f21_consumer_cycle_phase_margpos_378d_base_v051_signal,70452,-0.012117474043275638,-0.015358636483921209
f21_consumer_cycle_phase,base_001_075,f21ccp_f21_consumer_cycle_phase_revphasemean_5d_base_v014_signal,12304,-0.00919676565781048,0.0006532936462344868
f21_consumer_cycle_phase,base_076_150,f21ccp_f21_consumer_cycle_phase_revxmarg_126d_base_v137_signal,69806,0.004239239880924311,0.022673674714537087
f21_consumer_cycle_phase,base_076_150,f21ccp_f21_consumer_cycle_phase_compxni_252d_base_v127_signal,70364,-0.0407368443098796,-0.07139843287425009
f21_consumer_cycle_phase,2nd_derivatives_001_150,f21ccp_f21_consumer_cycle_phase_revphasemean_21d_sl42_slope_v016_signal,26985,0.007808103171189026,0.015996459080680564
f21_consumer_cycle_phase,2nd_derivatives_001_150,f21ccp_f21_consumer_cycle_phase_margpos_252d_sl5_slope_v049_signal,70430,-0.012685963520804727,-0.010285986115369156
f21_consumer_cycle_phase,3rd_derivatives_001_150,f21ccp_f21_consumer_cycle_phase_revphasemean_63d_jw126_jerk_v018_signal,70111,-0.0002240809089452625,0.020103485920011967
f21_consumer_cycle_phase,3rd_derivatives_001_150,f21ccp_f21_consumer_cycle_phase_margposmean_10d_jw126_jerk_v054_signal,3460,0.06810338646017318,0.03818062235325274
f22_discretionary_demand_resilience,base_001_075,f22ddr_f22_discretionary_demand_resilience_revrecstd_63d_base_v057_signal,70780,-0.03154439163606969,-0.07725164341686717
f22_discretionary_demand_resilience,base_001_075,f22ddr_f22_discretionary_demand_resilience_revddsq_168d_base_v021_signal,70808,-0.005230937873760015,-0.018073771738101554
f22_discretionary_demand_resilience,base_076_150,f22ddr_f22_discretionary_demand_resilience_resema_378d_base_v090_signal,70533,-0.012955282140131547,-0.03061923263791559
f22_discretionary_demand_resilience,base_076_150,f22ddr_f22_discretionary_demand_resilience_revrecxeb_10d_base_v119_signal,70507,0.004324180916925037,-0.010596693485329496
f22_discretionary_demand_resilience,2nd_derivatives_001_150,f22ddr_f22_discretionary_demand_resilience_revddmean_5d_sl21_slope_v027_signal,2809,,-0.06959568945056975
